1FIR_A.fasta 3BBV_z.fasta
1QZA_B.fasta 486D_C.fasta
1VTQ_A.fasta 486D_A.fasta
1Y26_X.fasta 3LA5_A.fasta
1Y27_X.fasta 3DS7_A.fasta
1Y27_X.fasta 3DS7_B.fasta
1Y27_X.fasta 3RKF_A.fasta
1Y27_X.fasta 3RKF_B.fasta
1Y27_X.fasta 3RKF_C.fasta
1Y27_X.fasta 3RKF_D.fasta
1Y27_X.fasta 4FEP_B.fasta
2B57_A.fasta 3DS7_A.fasta
2B57_A.fasta 3DS7_B.fasta
2B57_A.fasta 3RKF_A.fasta
2B57_A.fasta 3RKF_B.fasta
2B57_A.fasta 3RKF_C.fasta
2B57_A.fasta 3RKF_D.fasta
2EES_A.fasta 3DS7_A.fasta
2EES_A.fasta 3DS7_B.fasta
2EES_A.fasta 3RKF_A.fasta
2EES_A.fasta 3RKF_B.fasta
2EES_A.fasta 3RKF_C.fasta
2EES_A.fasta 3RKF_D.fasta
2EET_A.fasta 3DS7_A.fasta
2EET_A.fasta 3DS7_B.fasta
2EET_A.fasta 3RKF_A.fasta
2EET_A.fasta 3RKF_B.fasta
2EET_A.fasta 3RKF_C.fasta
2EET_A.fasta 3RKF_D.fasta
2EEU_A.fasta 3RKF_A.fasta
2EEU_A.fasta 3RKF_B.fasta
2EEU_A.fasta 3RKF_C.fasta
2EEU_A.fasta 3RKF_D.fasta
2EEV_A.fasta 3RKF_A.fasta
2EEV_A.fasta 3RKF_B.fasta
2EEV_A.fasta 3RKF_C.fasta
2EEV_A.fasta 3RKF_D.fasta
2EEW_A.fasta 3RKF_A.fasta
2EEW_A.fasta 3RKF_B.fasta
2EEW_A.fasta 3RKF_C.fasta
2EEW_A.fasta 3RKF_D.fasta
2G9C_A.fasta 3RKF_A.fasta
2G9C_A.fasta 3RKF_B.fasta
2G9C_A.fasta 3RKF_C.fasta
2G9C_A.fasta 3RKF_D.fasta
2GIS_A.fasta 4AOB_A.fasta
2TRA_A.fasta 486D_A.fasta
